totalFare,arrival_airport_id,departure_airport_id,airline_id,airplane_id,book_info_id,flight_info_id
96.22705539358601,3514,3482,7,74,0,0
173.12268907563026,3350,3551,7,178,1,1
288.6,3376,3295,7,178,2,2
449.09661016949156,3445,3285,1,80,3,3
203.6,3295,3482,1,77,4,4
180.39183673469387,3295,3482,1,178,5,5
436.1189448441247,3285,3658,1,80,6,6
215.9754601226994,3490,3482,1,181,7,7
324.6,3470,3445,0,80,8,8
91.99816513761468,3630,3497,0,178,9,9
155.60183486238532,3270,3630,0,178,10,10
56.2475,3470,3482,0,80,11,11
76.36250000000001,3295,3470,0,80,12,12
263.70000000000005,3285,3630,7,181,13,13
83.12820512820512,3630,3676,0,178,14,14
78.97179487179487,3676,3497,0,178,15,15
95.57684210526317,3514,3630,7,74,16,16
215.94234234234236,3470,3376,0,178,17,17
153.6,3482,3295,7,178,18,18
155.15389048991355,3630,3376,7,74,19,19
491.4170022371365,3270,3482,1,87,20,20
197.18299776286355,3482,3552,1,178,21,21
159.15172413793104,3630,3470,0,178,22,22
135.44827586206898,3552,3630,0,178,23,23
78.49959183673468,3676,3597,0,178,24,24
76.6004081632653,3376,3676,0,178,25,25
198.51629955947138,3270,3514,7,77,26,26
192.77575757575758,3482,3552,1,178,27,27
317.9196428571429,3336,3249,1,181,28,28
184.3899408284024,3534,3551,7,181,29,29
108.6,3470,3630,0,80,30,30
248.6,3630,3482,1,80,31,31
309.6638783269962,3630,3470,0,178,32,32
267.9361216730038,3552,3630,0,178,33,33
277.1736526946108,3445,3470,0,178,34,34
301.42634730538924,3470,3534,0,80,35,35
220.31336405529956,3249,3295,7,181,36,36
377.2866359447005,3295,3630,7,178,37,37
338.61,3552,3482,0,77,38,38
89.09158878504672,3336,3551,1,178,39,39
223.25837837837835,3249,3514,7,178,40,40
96.85074626865674,3630,3676,0,178,41,41
181.24925373134332,3285,3630,0,178,42,42
204.59658823529412,3497,3445,1,74,43,43
282.9934117647059,3482,3497,1,77,44,44
89.74418604651163,3676,3408,0,77,45,45
172.6,3676,3630,0,178,46,46
129.85142857142856,3630,3270,7,181,47,47
67.74857142857142,3497,3630,7,74,48,48
397.1,3497,3676,3,77,49,49
235.56755319148937,3482,3534,1,80,50,50
135.03244680851063,3597,3482,1,181,51,51
159.20333333333332,3552,3630,7,74,52,52
227.56500000000003,3285,3630,7,181,53,53
202.95899581589958,3552,3482,1,181,54,54
242.69019390581718,3482,3597,1,181,55,55
388.1,3285,3676,0,80,56,56
285.6,3551,3445,1,80,57,57
263.5601286173634,3630,3551,7,205,58,58
294.03987138263665,3551,3270,7,181,59,59
99.55,3321,3676,0,80,60,60
99.55,3497,3321,0,74,61,61
204.29586374695867,3470,3376,0,80,62,62
203.30413625304138,3295,3470,0,80,63,63
193.6,3376,3249,3,178,64,64
187.41333333333336,3376,3482,1,80,65,65
214.18666666666667,3482,3470,1,80,66,66
283.6,3285,3597,0,80,67,67
199.92887372013652,3630,3497,7,77,68,68
157.26112627986348,3552,3630,7,74,69,69
162.14418604651163,3470,3376,0,178,70,70
132.4558139534884,3376,3552,0,178,71,71
180.83409836065573,3497,3630,7,74,72,72
420.0769066666666,3630,3285,7,181,73,73
83.49162561576355,3676,3321,0,74,74,74
468.61,3630,3470,0,80,75,75
529.7795918367347,3295,3482,7,74,76,76
130.78536585365853,3445,3551,1,80,77,77
348.6,3676,3445,0,178,78,78
237.8104249291785,3482,3597,1,80,79,79
70.70892857142857,3285,3470,0,80,80,80
86.89107142857142,3470,3497,0,178,81,81
93.6,3470,3497,3,178,82,82
83.6,3676,3249,0,178,83,83
83.6,3249,3630,0,178,84,84
172.98364116094987,3263,3270,0,178,85,85
125.96453900709221,3285,3482,1,80,86,86
51.6454609929078,3482,3376,1,181,87,87
257.5061224489796,3630,3482,1,80,88,88
291.09387755102046,3482,3552,1,181,89,89
73.7938864628821,3295,3249,7,74,90,90
130.52139737991266,3630,3295,7,181,91,91
169.36225490196077,3514,3676,0,74,92,92
279.3377450980392,3676,3497,0,178,93,93
274.6216216216216,3249,3630,7,178,94,94
148.97571428571428,3470,3551,0,80,95,95
198.6342857142857,3445,3470,0,178,96,96
145.58976377952757,3482,3295,1,77,97,97
113.01023622047245,3376,3482,1,181,98,98
63.6,3270,3285,3,77,99,99
80.12410714285714,3676,3630,0,178,100,100
71.97589285714285,3295,3676,0,80,101,101
114.99889502762431,3676,3482,0,74,102,102
191.10110497237568,3597,3676,0,178,103,103
191.961,3249,3551,3,80,104,104
218.1025,3497,3676,0,77,105,105
179.98749999999998,3676,3514,0,74,106,106
307.2105263157895,3482,3552,1,181,107,107
269.6,3676,3470,0,80,108,108
124.41372549019607,3497,3445,1,74,109,109
128.6,3676,3497,0,80,110,110
198.6,3630,3270,7,181,111,111
102.1,3249,3676,0,80,112,112
133.9396739130435,3534,3551,7,178,113,113
161.40116618075803,3482,3473,1,80,114,114
337.3953488372093,3552,3263,0,80,115,115
146.2046511627907,3263,3551,0,77,116,116
132.20277136258662,3534,3470,0,80,117,117
164.3972286374134,3470,3295,0,80,118,118
154.65544041450778,3497,3482,1,77,119,119
287.5445595854922,3482,3285,1,80,120,120
103.14903474903474,3552,3482,0,77,121,121
114.05096525096523,3482,3376,0,74,122,122
142.09650000000002,3336,3470,1,80,123,123
222.38549222797928,3534,3470,0,80,124,124
234.21450777202077,3470,3514,0,178,125,125
46.63430962343096,3676,3490,0,80,126,126
359.2862385321101,3552,3377,6,181,127,127
152.1,3376,3676,0,74,128,128
330.9504201680672,3285,3630,7,77,129,129
219.57014925373136,3249,3470,0,80,130,130
154.13857627118645,3630,3376,7,178,131,131
153.83233082706766,3630,3249,7,74,132,132
72.11122994652406,3676,3321,0,74,133,133
97.06465517241378,3552,3630,0,74,134,134
128.12534482758622,3630,3497,0,178,135,135
81.56875000000001,3551,3470,0,77,136,136
171.03125,3470,3249,0,80,137,137
408.6,3270,3514,0,77,138,138
195.76470588235293,3270,3263,0,178,139,139
341.83529411764704,3263,3630,0,178,140,140
304.3557377049181,3551,3482,7,181,141,141
249.844262295082,3270,3551,7,181,142,142
136.4151202749141,3350,3551,7,181,143,143
141.18487972508592,3376,3350,7,178,144,144
144.9868263473054,3376,3350,7,178,145,145
182.2131736526946,3350,3285,7,181,146,146
215.39555555555557,3514,3270,7,181,147,147
59.73257918552036,3514,3676,0,77,148,148
107.36742081447964,3676,3249,0,178,149,149
40.54838709677419,3470,3350,7,77,150,150
126.4829268292683,3470,3285,1,77,151,151
114.7170731707317,3445,3470,1,77,152,152
128.6,3470,3376,0,178,153,153
138.6,3295,3482,1,181,154,154
265.4692307692308,3531,3676,6,80,155,155
101.02720588235294,3470,3559,0,80,156,156
238.94474327628362,3473,3514,0,74,157,157
228.65525672371638,3285,3473,0,77,158,158
143.6,3470,3497,3,178,159,159
164.1068493150685,3497,3630,7,178,160,160
348.6,3551,3482,1,181,161,161
127.95789473684209,3597,3551,1,181,162,162
136.30235849056606,3445,3676,0,178,163,163
149.797641509434,3676,3295,0,77,164,164
304.87021276595743,3497,3658,1,74,165,165
402.7297872340426,3658,3285,1,181,166,166
269.1536842105263,3497,3551,7,178,167,167
187.4463157894737,3551,3270,7,178,168,168
162.12039800995026,3552,3482,1,181,169,169
111.1,3482,3295,1,77,170,170
215.63534883720928,3551,3658,1,181,171,171
138.6,3376,3482,1,80,172,172
201.27071090047394,3336,3551,7,74,173,173
278.72505263157893,3470,3497,0,178,174,174
263.87494736842103,3270,3470,0,80,175,175
635.1933609958506,3377,3552,6,181,176,176
73.42248587570623,3321,3249,0,74,177,177
308.6,3285,3597,0,80,178,178
244.6,3552,3630,0,178,179,179
160.6829712460064,3497,3551,1,178,180,180
167.35816618911173,3551,3285,7,178,181,181
55.641530054644804,3678,3376,0,80,182,182
81.95846994535519,3676,3678,0,80,183,183
95.69169381107491,3470,3482,1,80,184,184
121.9183061889251,3482,3551,1,80,185,185
205.27826086956523,3350,3534,7,181,186,186
119.43464566929133,3497,3478,0,74,187,187
84.16535433070865,3478,3470,0,178,188,188
168.61,3676,3597,3,178,189,189
240.6,3376,3497,3,178,190,190
258.6,3497,3630,7,74,191,191
148.6,3497,3482,1,80,192,192
608.6,3630,3551,7,181,193,193
320.85236363636363,3551,3370,7,181,194,194
258.6,3551,3497,7,178,195,195
121.35746606334843,3470,3350,7,74,196,196
148.6,3482,3497,1,77,197,197
154.6,3295,3630,3,178,198,198
323.19173913043477,3514,3470,7,74,199,199
195.41826086956522,3482,3514,7,178,200,200
291.889592760181,3270,3551,7,205,201,201
485.310407239819,3551,3497,7,178,202,202
282.10604651162794,3497,3445,1,74,203,203
222.79310344827584,3470,3249,0,80,204,204
174.80689655172415,3285,3470,0,80,205,205
